"Compounds ID","Tags","Checked","Name","Formula","Annot. Source: Predicted Compositions","Annot. Source: mzCloud Search","Annot. Source: Metabolika Search","Annot. Source: ChemSpider Search","Annot. Source: MassList Search","Annot. DeltaMass [ppm]","Calc. MW","m/z","RT [min]","Area (Max.)","# ChemSpider Results","# mzCloud Results","mzCloud Best Match","mzCloud Best Match Confidence","mzCloud Best Sim. Match","Mass List Match: HMDB Serum metabolites (v5. 40600 cpds)","Mass List Match: HMDB Urine metabolites (v5. 4641 cpds)","MS2","Reference Ion","Group Area: cla","Group Area: cla/lps","Group Area: ctrl","Group Area: lps","Group Area: no2-cla/lps","Group CV [%]: cla","Group CV [%]: cla/lps","Group CV [%]: ctrl","Group CV [%]: lps","Group CV [%]: no2-cla/lps","Ratio: (cla) / (ctrl)","Ratio: (cla/lps) / (ctrl)","Ratio: (lps) / (ctrl)","Ratio: (no2-cla/lps) / (ctrl)","Ratio: (cla/lps) / (lps)","Ratio: (no2-cla/lps) / (lps)","Log2 Fold Change: (cla) / (ctrl)","Log2 Fold Change: (cla/lps) / (ctrl)","Log2 Fold Change: (lps) / (ctrl)","Log2 Fold Change: (no2-cla/lps) / (ctrl)","Log2 Fold Change: (cla/lps) / (lps)","Log2 Fold Change: (no2-cla/lps) / (lps)","P-value: (cla) / (ctrl)","P-value: (cla/lps) / (ctrl)","P-value: (lps) / (ctrl)","P-value: (no2-cla/lps) / (ctrl)","P-value: (cla/lps) / (lps)","P-value: (no2-cla/lps) / (lps)","Adj. P-value: (cla) / (ctrl)","Adj. P-value: (cla/lps) / (ctrl)","Adj. P-value: (lps) / (ctrl)","Adj. P-value: (no2-cla/lps) / (ctrl)","Adj. P-value: (cla/lps) / (lps)","Adj. P-value: (no2-cla/lps) / (lps)","Peak Rating (Max.)","Peak Rating: Liver-H-9.raw (F9)","Peak Rating: Liver-H-10.raw (F10)","Peak Rating: Liver-H-11.raw (F11)","Peak Rating: Liver-H-12.raw (F12)","Peak Rating: Liver-H-13.raw (F13)","Peak Rating: Liver-H-14.raw (F14)","Peak Rating: Liver-H-15.raw (F15)","Peak Rating: Liver-H-16.raw (F16)","Peak Rating: Liver-H-25.raw (F25)","Peak Rating: Liver-H-26.raw (F26)","Peak Rating: Liver-H-27.raw (F27)","Peak Rating: Liver-H-28.raw (F28)","Peak Rating: Liver-H-29.raw (F29)","Peak Rating: Liver-H-30.raw (F30)","Peak Rating: Liver-H-31.raw (F31)","Peak Rating: Liver-H-32.raw (F32)","Peak Rating: Liver-H-1.raw (F1)","Peak Rating: Liver-H-2.raw (F2)","Peak Rating: Liver-H-3.raw (F3)","Peak Rating: Liver-H-4.raw (F4)","Peak Rating: Liver-H-5.raw (F5)","Peak Rating: Liver-H-6.raw (F6)","Peak Rating: Liver-H-7.raw (F7)","Peak Rating: Liver-H-8.raw (F8)","Peak Rating: Liver-H-17.raw (F17)","Peak Rating: Liver-H-18.raw (F18)","Peak Rating: Liver-H-19.raw (F19)","Peak Rating: Liver-H-20.raw (F20)","Peak Rating: Liver-H-21.raw (F21)","Peak Rating: Liver-H-22.raw (F22)","Peak Rating: Liver-H-23.raw (F23)","Peak Rating: Liver-H-24.raw (F24)","Peak Rating: Liver-H-33.raw (F33)","Peak Rating: Liver-H-34.raw (F34)","Peak Rating: Liver-H-35.raw (F35)","Peak Rating: Liver-H-36.raw (F36)","Peak Rating: Liver-H-37.raw (F37)","Peak Rating: Liver-H-38.raw (F38)","Peak Rating: Liver-H-39.raw (F39)","Peak Rating: Liver-H-40.raw (F40)"
"10","","True","7-Hexadecynoic acid","C16 H28 O2","Full match","No results","No results","Partial match","Full match","0.47","252.20905","251.20177","7.017","1207468338.14536","14","0","","","","Single match found","No matches found","PreferredDDA","[M-H]-1","338543672.905888","412190923.613964","153973747.285195","550720775.437462","668676174.451662","27.4339041405932","50.9195332277652","39.7181489083995","52.6111517482323","31.4468341922408","2.199","2.677","3.577","4.343","0.748","1.214","1.14","1.42","1.84","2.12","-0.42","0.28","0.559153719343921","0.429518653703199","0.863594219984169","0.042167284474916","0.942213965939149","0.301024044199436","0.999999999990232","0.999999999971901","0.99999999999954","0.188372773569327","0.999999999980223","0.657657401995361","7.6","6.1","7.6","6.8","6.1","6.5","6.5","6.8","6.5","5.8","5.8","4.7","6.2","6.2","6.2","5.5","5.1","7.1","7.5","6.7","6.3","7.1","6.0","7.1","7.1","6.6","1.6","6.6","6.2","6.2","5.8","5.8","6.6","7.1","6.7","6.3","6.3","6.7","7.5","6.7","7.1"
"21","","True","Stearic acid","C18 H36 O2","Full match","Full match","Full match","Full match","Full match","1.09","284.27184","283.26455","8.777","526177138.345238","5","2","97.0","9.8","","Multiple matches found","Single match found","PreferredDDA","[M-H]-1","114785305.384842","375696932.5025","71628730.197971","378093907.433872","242608282.678056","39.0992367585489","44.8154063950811","73.4570254694569","57.0422230468958","28.0896151693293","1.603","5.245","5.279","3.387","0.994","0.642","0.68","2.39","2.40","1.76","-0.01","-0.64","0.741944452154348","0.0161547722046056","0.0907234824104146","0.0285891937501007","0.948149877814755","0.986656669908906","0.999999999990232","0.154516892386255","0.549745697669917","0.137537202365349","0.999999999980223","0.999999999998553","8.0","7.1","7.1","7.1","6.3","7.1","6.3","7.5","6.7","5.5","6.2","6.2","4.3","5.8","5.5","6.2","6.6","6.6","6.6","6.6","6.6","6.6","6.2","6.2","6.6","7.0","5.8","5.5","6.2","5.8","5.5","7.0","6.6","6.8","7.2","6.5","7.6","7.6","7.2","6.8","8.0"
"23","","True","MFCD00048190","C14 H24 O2","Full match","No results","No results","Full match","No results","-0.91","224.17743","223.17015","6.251","619651053.499309","13","0","","","","No matches found","No matches found","PreferredDDA","[M-H]-1","16315068.2959146","68008662.029121","10767806.3086127","250242545.255737","260111057.614628","61.7648024441042","57.9962943393773","43.6020683170613","66.9198311368276","52.2116822944761","1.515","6.316","23.240","24.156","0.272","1.039","0.60","2.66","4.54","4.59","-1.88","0.06","0.947956284900315","0.0440191142372021","0.023882211378769","0.000175008993951176","0.999054500467083","0.410645418378769","0.999999999990232","0.340669666705303","0.231348768730388","0.00214838627057305","0.999999999980223","0.805762447708406","7.0","6.6","6.2","6.2","5.1","5.5","5.1","5.5","4.8","5.8","6.6","6.6","5.8","6.6","7.0","6.2","6.6","5.5","6.6","5.8","4.5","5.8","5.6","6.2","5.5","6.2","","7.0","6.6","6.6","6.6","6.6","6.6","7.0","6.2","6.6","6.6","6.2","7.0","6.6","7.0"
"28","","True","a Methyl farnesoate","C16 H26 O2","Full match","No results","No results","Not the top hit","Full match","0.48","250.19340","249.18612","6.695","530053765.397367","5","0","","","","Multiple matches found","No matches found","PreferredDDA","[M-H]-1","69912371.7349366","82611659.6919662","35270406.7842049","201923519.874687","255959868.030464","45.7841070504768","53.5837239171789","38.908020502045","65.8892633620141","46.2732372941652","1.982","2.342","5.725","7.257","0.409","1.268","0.99","1.23","2.52","2.86","-1.29","0.34","0.600042510966367","0.495343421692827","0.684404061558316","0.018187506342793","0.998014055990888","0.298152955860452","0.999999999990232","0.999999999971901","0.99999999999954","0.0957615800139439","0.999999999980223","0.657228806726445","7.5","6.2","4.3","5.5","6.2","5.8","6.6","4.7","4.7","6.2","6.6","6.2","6.2","5.5","6.2","6.2","6.2","7.5","7.1","7.5","6.7","7.1","7.5","7.5","7.5","7.0","","6.2","6.6","7.0","6.6","7.0","6.2","6.6","6.6","7.0","6.2","7.0","7.0","6.2","7.0"
"35","","True","a Methyl farnesoate","C16 H26 O2","Full match","No results","No results","Not the top hit","Full match","0.56","250.19342","249.18614","6.486","308575251.427593","5","0","","","","Multiple matches found","No matches found","PreferredDDA","[M-H]-1","7980707.24335894","14722326.4088034","11157480.2655462","85629562.5169853","94591555.884796","44.1956649915827","61.0368252575925","49.2528140289101","60.2578875833605","65.2271997696185","0.715","1.320","7.675","8.478","0.172","1.105","-0.48","0.40","2.94","3.08","-2.54","0.14","0.999919032935486","0.971033531288651","0.20678889865011","0.00211848739308518","0.524604774964226","0.337677117721499","0.999999999990232","0.999999999971901","0.873970571405308","0.0172384345585902","0.999999999980223","0.711319845614518","6.6","3.9","3.6","","3.6","4.7","1.7","3.3","","6.2","5.8","6.0","4.7","6.6","3.9","5.1","3.6","4.3","4.7","4.7","3.0","5.8","4.1","5.5","4.3","5.5","","5.8","6.2","4.7","5.5","5.8","5.8","6.6","6.6","6.2","5.8","6.2","6.2","5.5","5.8"
"39","","True","5-Tetradecenoic acid","C14 H26 O2","Full match","No results","No results","Not the top hit","Full match","-0.69","226.19312","225.18585","6.828","356803740.294228","22","0","","","","Multiple matches found","No matches found","PreferredDDA","[M-H]-1","16958324.8815324","77488575.5381417","18429255.0956529","144549633.810364","184020558.344729","67.3496259943666","47.5787128296096","35.444426550464","61.0209149492993","42.119561294425","0.920","4.205","7.843","9.985","0.536","1.273","-0.12","2.07","2.97","3.32","-0.90","0.35","0.978189242826573","0.016706670207283","0.0176248906833074","0.000103987334097111","0.999999953610329","0.380498786911198","0.999999999990232","0.158601989167807","0.187448858827381","0.00146611845301273","0.999999999980223","0.764217591765227","7.1","5.5","3.5","","","","5.1","4.7","","6.2","7.0","6.2","5.8","6.6","7.0","6.6","6.6","","","","","","","","7.1","5.5","","","5.1","5.1","5.8","6.2","5.1","6.2","5.8","5.8","","5.8","5.5","6.6",""
"82","","True","NP-011548","C18 H34 O3","Full match","Full match","No results","Partial match","Partial match","0.98","298.25109","297.24380","6.116","299616174.981169","14","1","94.9","9.7","","Multiple matches found","No matches found","PreferredDDA","[M-H]-1","53492415.6338255","41731974.8588902","37507372.1430606","21544580.3979911","199950261.700388","65.7019931850977","80.8027474486681","92.0812193010498","54.1469336527573","44.5121156347251","1.426","1.113","0.574","5.331","1.937","9.281","0.51","0.15","-0.80","2.41","0.95","3.21","0.996736596734278","0.999999738990578","0.289309668692481","0.0292348359838525","0.274392788799455","0.000111756303790234","0.999999999990232","0.999999999971901","0.99999999999954","0.139699350473174","0.999999999980223","0.00421954530054459","6.2","5.5","6.2","5.5","4.7","5.8","5.8","5.5","3.6","4.7","5.1","5.1","6.2","6.2","5.8","4.7","5.5","4.7","2.8","6.2","4.7","5.5","5.5","6.2","5.5","5.5","2.3","4.3","5.1","4.7","4.7","4.3","5.5","6.2","4.7","5.1","5.5","5.8","5.8","5.1","5.5"
"112","","True","NP-011548","C18 H34 O3","Full match","Full match","No results","Partial match","Partial match","0.96","298.25108","297.24379","7.209","111423762.857743","14","1","57.8","7.9","","Multiple matches found","No matches found","PreferredDDA","[M-H]-1","12421461.9820647","30568051.4365794","9248569.01722088","26160272.6039847","64387170.3601276","45.0057022914323","69.1680635681265","67.8741396199505","66.7895615409214","43.467656107409","1.343","3.305","2.829","6.962","1.168","2.461","0.43","1.72","1.50","2.80","0.22","1.30","0.999794225458523","0.176131254195146","0.735639043726519","0.00153816364433079","0.829894583662369","0.0396901575686442","0.999999999990232","0.797062650723831","0.99999999999954","0.0129606214764914","0.999999999980223","0.17584013525264","7.0","5.5","5.1","3.6","4.3","3.3","4.3","5.5","1.2","5.1","5.8","5.2","4.3","4.3","5.1","6.2","4.7","3.9","3.7","3.3","4.8","5.1","3.9","3.6","5.8","5.8","","5.1","5.1","4.7","4.3","5.1","3.9","5.1","5.1","4.3","7.0","5.1","5.8","5.1","3.9"
"113","","True","(+/-)9,10-dihydroxy-12Z-octadecenoic acid","C18 H34 O4","No match","Invalid mass","No results","No match","No match","-57312.71","296.23544","295.22815","6.601","160650798.387901","15","8","56.8","7.8","","Multiple matches found","Single match found","PreferredDDA","[M-H]-1","30856597.8981206","45547725.6886886","24787525.9214553","45625677.2758986","125865929.379286","54.6139727435328","62.2395855376255","67.370022868178","59.733353245706","25.1367439553767","1.245","1.838","1.841","5.078","0.998","2.759","0.32","0.88","0.88","2.34","0.00","1.46","0.999999193406339","0.948378295740368","0.999998721816254","0.0201072240277652","0.959382849134803","0.0226850984076138","0.999999999990232","0.999999999971901","0.99999999999954","0.104118861874682","0.999999999980223","0.119201402702738","6.8","4.3","4.3","2.8","3.9","3.2","4.7","5.1","4.3","5.8","5.8","6.4","4.3","5.5","5.8","5.5","5.5","6.2","5.5","5.5","5.1","5.5","3.6","6.2","5.5","5.5","","5.5","5.8","5.5","5.8","5.1","6.2","6.8","6.5","6.8","6.1","6.1","6.8","6.5","6.5"
"118","","True","(4E,7E,10E,13E)-Hexadeca-4,7,10,13-tetraenoic acid","C16 H24 O2","Full match","Invalid mass","No results","Partial match","Full match","0.44","248.17774","247.17046","6.179","119701234.651577","5","2","","","55.2","Single match found","No matches found","PreferredDDA","[M-H]-1","3851363.08765916","7596128.63677516","3347783.40759422","41976539.4088682","45902575.0632178","49.918528260044","55.0494125199614","42.806911898201","74.4273087751325","56.9254423482397","1.150","2.269","12.539","13.711","0.181","1.094","0.20","1.18","3.65","3.78","-2.47","0.13","0.999474569208714","0.439940917471559","0.0172578678315065","9.98530893967509E-05","0.507729731080946","0.377587921324677","0.999999999990232","0.999999999971901","0.187448858827381","0.00142190799300973","0.999999999980223","0.763603065676245","7.0","4.8","4.5","4.8","4.1","2.3","4.1","2.3","1.2","6.2","5.6","6.1","5.5","5.8","5.8","4.1","6.6","5.2","3.3","4.8","5.8","4.5","2.0","6.0","4.5","6.6","","6.6","6.6","5.8","6.2","6.6","6.6","6.2","6.6","6.2","7.0","6.6","5.8","5.8","6.2"
